ToLID,BioProject_ID,Organism
 mTacAcu1,PRJNA607289,Tachyglossus aculeatus
 bTaeGut1,PRJNA510143,Taeniopygia guttata
 bTaeGut2,PRJNA533101,Taeniopygia guttata
,PRJEB31991,Takifugu rubripes
 mTamTet1,PRJNA848843,Tamandua tetradactyla
 bTauEry1,PRJNA562246,Tauraco erythrolophus
,PRJEB45118,Taurulus bubalis
 fTauAds1,PRJNA776882,Tautogolabrus adspersus
,PRJEB51033,Telmatherina bonti
,PRJEB57676,Tetrao urogallus
,PRJEB34607,Thalassophryne amazonica
 rThaEle1,PRJNA562247,Thamnophis elegans
 bTheCae1,PRJNA776872,Theristicus caerulescens
,PRJEB45170,Thunnus albacares
,PRJEB45115,Thunnus maccoyii
 fToxJac1,PRJNA717219,Toxotes jaculatrix
,PRJEB42240,Trachurus trachurus
 fTriRos1,PRJNA971190,Trichomycterus rosablanca
 mTriVul1,PRJNA562248,Trichosurus vulpecula
 bTroSur1,PRJNA776873,Trogon surrucura
 mTurTru1,PRJNA562249,Tursiops truncatus
 bVidCha1,PRJNA912708,Vidua chalybeata
 rVipLat1,PRJNA858072,Vipera seoanei
,PRJEB55895,Vipera ursinii
 fXenCan1,PRJNA562250,Xenentodon cancila
 mZalCal1,PRJNA561800,Zalophus californianus
,PRJEB63619,Zeus faber
